period_month,currency_pair,monthly_avg_rate,mom_pct_change,yoy_pct_change,ma_3m,ma_6m,ma_12m
2003-06-01,EUR/JPY,138.0504761904762,1.635815453653047,17.19204929644789,134.66468253968253,131.14494877344876,125.50689615095051
2003-07-01,EUR/JPY,134.9882608695652,-2.218185264848971,15.269207636274507,136.2891028295376,132.6237498274672,126.99700484660268
2003-08-01,EUR/JPY,132.37809523809523,-1.9336241645427976,13.819335262869528,135.13894409937888,133.25276570048308,128.3363915709894
2003-09-01,EUR/JPY,128.9440909090909,-2.594088034601136,8.923443340114376,132.1034823389171,133.38408243929982,129.21669279754062
2003-10-01,EUR/JPY,128.1182608695652,-0.6404559012385692,5.384527351796746,129.8134823389171,133.05129258422735,129.76220004391743
2003-11-01,EUR/JPY,127.83899999999998,-0.21797116794266416,5.087546239210833,128.30045059288537,131.7196973461321,130.2779500439174
2003-12-01,EUR/JPY,132.43142857142854,3.5923533283493745,6.62927629384413,129.46289648033124,130.78318940962416,130.96406909153646
2004-01-01,EUR/JPY,134.1309523809524,1.2833236248049746,6.355682469200389,131.46712698412696,130.64030466152204,131.6320272444946
2004-02-01,EUR/JPY,134.77900000000002,0.48314546906896066,4.801561382227645,133.78046031746032,131.04045545517283,132.14661057782794
2004-03-01,EUR/JPY,133.12521739130435,-1.2270328528151107,3.877321022613487,134.0117232574189,131.7373098688751,132.56069615408748
2004-04-01,EUR/JPY,129.078,-3.040158334095389,-0.7969872804826547,132.32740579710148,131.8972663906142,132.47427948742077
2004-05-01,EUR/JPY,134.48238095238096,4.186910978153489,-0.99109521806199,132.22853278122844,133.00449654934437,132.36209694773825
2004-06-01,EUR/JPY,132.8609090909091,-1.2057132317176997,-3.7591808755565186,132.14043001443002,133.07607663592447,131.9296330227743
2004-07-01,EUR/JPY,134.0822727272727,0.9192799031112278,-0.6711606894231545,133.80852092352092,133.06796336031118,131.85413401091662
2004-08-01,EUR/JPY,134.53863636363639,0.340360904600665,1.6320986653080398,133.82727272727274,133.0279027542506,132.0341791047117
2004-09-01,EUR/JPY,134.50545454545457,-0.02466341199722828,4.313003874124467,134.37545454545455,133.25794227994228,132.49762607440869
2004-10-01,EUR/JPY,135.97095238095238,1.0895452830892935,6.129252347080995,135.00501443001446,134.40676767676769,133.15201703369095
2004-11-01,EUR/JPY,136.08727272727273,0.08554793820554646,6.452078573262267,135.5212265512266,134.67424963924967,133.839373094297
2004-12-01,EUR/JPY,139.14000000000001,2.243212911500648,5.065694375525914,137.06607503607503,135.72076479076478,134.39842071334462
2005-01-01,EUR/JPY,135.63333333333333,-2.5202433999329372,1.1200852045797203,136.95353535353536,135.9792748917749,134.52361912604306
2005-02-01,EUR/JPY,136.5495,0.6754730892111102,1.3136319456294894,137.10761111111108,136.31441883116884,134.67116079270974
2005-03-01,EUR/JPY,138.83285714285714,1.6721827197149326,4.287421920052849,137.00523015873014,137.0356525974026,135.14679743867245
2005-04-01,EUR/JPY,138.83619047619044,0.0024009686193174895,7.559917628248374,138.0728492063492,137.51319227994227,135.959979978355
2005-05-01,EUR/JPY,135.3731818181818,-2.494312647250669,0.6623922475883676,137.68074314574312,137.39417712842712,136.03421338383842
2005-06-01,EUR/JPY,132.2159090909091,-2.3322734125531563,-0.4854701088630018,135.47509379509378,136.240161976912,135.98046338383838
2005-07-01,EUR/JPY,134.74714285714285,1.914469887654236,0.49586728830477367,134.1120779220779,136.09246356421355,136.0358692279942
2005-08-01,EUR/JPY,135.98478260869564,0.9184905336842063,1.0748928963056767,134.3159448522492,135.99834399899615,136.1563814150825
2005-09-01,EUR/JPY,136.06318181818185,0.05765292849848176,1.1581145746032635,135.59836909467344,135.5367314448836,136.28619202114308
2005-10-01,EUR/JPY,138.05190476190478,1.4616172554162514,1.5304389242800573,136.69995639626075,135.40601715916932,136.4596047195558
2005-11-01,EUR/JPY,139.59136363636367,1.115130484518819,2.574885100470304,137.9021500721501,136.10904746219964,136.75161229531338
2005-12-01,EUR/JPY,140.57666666666668,0.7058481303110811,1.0325331800105415,139.40664502164506,137.50250705815924,136.87133451753562
2006-01-01,EUR/JPY,139.81499999999997,-0.5418158537453202,3.0830670926517403,139.99434343434345,138.34714991530208,137.21980673975784
2006-02-01,EUR/JPY,140.76749999999998,0.681257375818056,3.0889897070293113,140.3863888888889,139.14426948051948,137.57130673975783
2006-03-01,EUR/JPY,140.96,0.13675031523613326,1.5321609746560716,140.51416666666668,139.96040584415584,137.74856864451974
2006-04-01,EUR/JPY,143.58666666666667,1.8634127884979177,3.4216411255470973,141.77138888888888,140.88286616161616,138.14444166039274
2006-05-01,EUR/JPY,142.70318181818183,-0.6152972758507109,5.414661827070654,142.41661616161616,141.40150252525254,138.7552749937261
2006-06-01,EUR/JPY,145.11,1.686590411757398,9.752299097550504,143.79994949494952,142.1570580808081,139.82978256948365
2006-07-01,EUR/JPY,146.6966666666667,1.093423379964629,8.868109227512576,144.8366161616162,143.30400252525254,140.8255762202773
2006-08-01,EUR/JPY,148.53478260869565,1.2530045731752344,9.228973830192007,146.78048309178746,144.5985496267018,141.87140955361062
2006-09-01,EUR/JPY,148.99238095238096,0.30807487354043894,9.502349541903339,148.07461007591442,145.93727978543197,142.94884281479392
2006-10-01,EUR/JPY,149.6518181818182,0.4425979538161697,8.402573973839429,149.0596605809649,146.94813837129055,143.91550226645336
2006-11-01,EUR/JPY,151.10545454545456,0.971345608290769,8.248426413460056,149.91655122655123,148.34851715916935,144.87500984221094
2006-12-01,EUR/JPY,154.82473684210524,2.461381892426567,10.135444603494099,151.86066985645934,149.96763996618688,146.06234902349752
2007-01-01,EUR/JPY,156.56136363636364,1.1216726924131388,11.977515743206144,154.16385167464117,151.61175612780303,147.45787932652783
2007-02-01,EUR/JPY,157.60049999999995,0.663724650514581,11.958015877244373,156.32886682615626,153.12270902635376,148.8606293265278
2007-03-01,EUR/JPY,155.2409090909091,-1.4971976034916485,10.131178412960478,156.4675909090909,154.16413038277514,150.05070508410356
2007-04-01,EUR/JPY,160.68473684210525,3.5066966452819774,11.907839754460891,157.8420486443381,156.00295015948964,151.47554426539008
2007-05-01,EUR/JPY,163.21909090909088,1.5772214068321733,14.37663045036261,159.71491228070175,158.021889553429,153.18520335629918
2007-06-01,EUR/JPY,164.55476190476193,0.8183301280699992,13.400015095280764,162.81952988531933,159.64356039720514,154.805600181696
2007-07-01,EUR/JPY,166.76227272727272,1.3415052818638016,13.678297207802515,164.84537518037519,161.34371191235664,156.47773402007985
2007-08-01,EUR/JPY,159.05260869565217,-4.623146414074801,7.081052600766909,163.4565477758956,161.58573002829868,157.35421952732625
2007-09-01,EUR/JPY,159.8195,0.4821620409981999,7.266894440111991,161.87812714097495,162.34882851314717,158.25647944796114
2007-10-01,EUR/JPY,164.94782608695652,3.2088237586505524,10.221063860750817,161.2733115942029,163.05934338728906,159.53114677338934
2007-11-01,EUR/JPY,162.89090909090908,-1.2470106729161081,7.799489820474541,162.55274505928853,163.00464641759206,160.51326798551057
2007-12-01,EUR/JPY,163.55315789473684,0.40655970767414995,5.637614008369412,163.79729769086748,162.83771241592123,161.2406364065632
2008-01-01,EUR/JPY,158.67681818181816,-2.9815014125603745,1.351198339309291,161.70696172248802,161.49013665834545,161.4169242853511
2008-02-01,EUR/JPY,157.96904761904764,-0.44604534605649104,0.23384927017851415,160.06634123186754,161.30954314557803,161.4476365869384
2008-03-01,EUR/JPY,156.59368421052633,-0.8706537320134291,0.8714037604772394,157.74651667046405,160.77190718066575,161.56036784690647
2008-04-01,EUR/JPY,161.56181818181818,3.172627297415541,0.5458398581906274,158.70818333713072,160.20757252980937,161.6334579585492
2008-05-01,EUR/JPY,162.31,0.4630932150935762,-0.5569758439576287,160.15516746411484,160.11075434799116,161.5577003827916
2008-06-01,EUR/JPY,166.26428571428573,2.4362551378755044,1.0388783586300647,163.37870129870132,160.56260898458265,161.70016070025193
2008-07-01,EUR/JPY,168.4534782608696,1.3166944044410342,1.014141571674735,165.67592132505177,162.19205233109125,161.84109449471836
2008-08-01,EUR/JPY,163.6290476190476,-2.8639543045533267,2.8773114511768108,166.1156038647343,163.13538566442455,162.22246440500132
2008-09-01,EUR/JPY,153.20045454545456,-6.373314044993002,-4.14157562409183,161.7609934751239,162.5698473869126,161.67087728378917
2008-10-01,EUR/JPY,133.5186956521739,-12.847062987950261,-19.05398281406506,150.11606593889204,157.89599363197192,159.05178308089063
2008-11-01,EUR/JPY,123.2775,-7.670233447196768,-24.31898091304832,136.66555006587615,151.39057696530523,155.75066565664818
2008-12-01,EUR/JPY,122.51285714285716,-0.6202614890331536,-25.092943040753333,126.43635093167701,144.09867220340047,152.33064059399155
2009-01-01,EUR/JPY,119.73285714285716,-2.269149593628658,-24.542942998981413,121.84107142857142,135.9785686837317,149.0853105074115
2009-02-01,EUR/JPY,118.30049999999999,-1.1962941309820907,-25.111595098497315,120.18207142857143,128.42381074722377,145.7795982058242
2009-03-01,EUR/JPY,127.65318181818179,7.905868376026989,-18.48127051754948,121.89551298701298,124.165931959345,143.36788967312881
2009-04-01,EUR/JPY,130.24600000000004,2.031142620096405,-19.383180094306688,125.39989393939395,123.62048268398269,140.75823815797733
2009-05-01,EUR/JPY,131.846,1.2284446355358056,-18.769022241389933,129.91506060606062,125.04856601731603,138.21957149131063
2009-06-01,EUR/JPY,135.39181818181822,2.6893634860505586,-18.568309724386523,132.4946060606061,127.19505952380955,135.646865863605
2009-07-01,EUR/JPY,133.09391304347827,-1.6972259987336091,-20.990700567567366,133.44391040843217,129.42190217391305,132.7002354288224
2009-08-01,EUR/JPY,135.31428571428575,1.6682751449964066,-17.304239263607265,134.60000564652742,132.257533126294,130.3406719367589
2009-09-01,EUR/JPY,133.14409090909092,-1.603817951474216,-13.091582329746235,133.85076322228497,133.1726846414455,128.66930830039527
2009-10-01,EUR/JPY,133.9140909090909,0.5783208212565197,0.29613475100672976,134.12415584415587,133.78403312629402,128.70225790513834
2009-11-01,EUR/JPY,132.96571428571428,-0.7081977833239623,7.858866610463614,133.3412987012987,133.97065217391307,129.50960909561454
2009-12-01,EUR/JPY,131.21,-1.3204263182775298,7.098963374106501,132.69660173160173,133.27368247694335,130.23437100037646
2010-01-01,EUR/JPY,130.339,-0.6638213550796503,8.858172359896423,131.50490476190478,132.81453030303032,131.11821623847166
2010-02-01,EUR/JPY,123.4555,-5.281228181894903,4.35754709405287,128.33483333333334,130.838066017316,131.547799571805
2010-03-01,EUR/JPY,123.0282608695652,-0.34606731205559826,-3.6230361693639024,125.60758695652173,129.15209434406174,131.16238949275362
2010-04-01,EUR/JPY,125.3255,1.8672450656441784,-3.7778511432213127,123.93642028985506,127.72066252587992,130.75234782608695
2010-05-01,EUR/JPY,115.82714285714285,-7.5789501281520195,-12.1496724533601,121.39363457556935,124.86423395445134,129.4174430641822
2010-06-01,EUR/JPY,110.99363636363637,-4.173034380609694,-18.02042556620182,117.38209307359307,121.49484001505739,127.38426124600038
2010-07-01,EUR/JPY,111.72863636363635,0.662200126133344,-16.05278272407728,112.84980519480519,118.39311274233013,125.60382152268022
2010-08-01,EUR/JPY,110.0409090909091,-1.5105592690080953,-18.67753762285014,110.9210606060606,116.15734759081498,123.49770680406549
2010-09-01,EUR/JPY,110.25545454545454,0.19496881325126075,-17.190876596442006,110.675,114.02854653679653,121.59032044042912
2010-10-01,EUR/JPY,113.67142857142859,3.0982358560462537,-15.116155589186109,111.32259740259741,112.08620129870128,119.9034319122906
2010-11-01,EUR/JPY,112.68636363636364,-0.8665897380237128,-15.25156372700315,112.20441558441559,111.56273809523809,118.21348602484473
2010-12-01,EUR/JPY,110.10956521739128,-2.286699415811863,-16.08142274415725,112.1557858083945,111.41539290419723,116.45511645962732
2011-01-01,EUR/JPY,110.38095238095238,0.24647010732019226,-15.312414257472911,111.05896041156909,111.19077890708326,114.7919458247067
2011-02-01,EUR/JPY,112.76800000000003,2.1625539257981297,-8.656965465289089,111.08617253278123,111.6452940585984,113.90132082470667
2011-03-01,EUR/JPY,114.39739130434786,1.4449057395252496,-7.015355255950341,112.51544789510008,112.33561685174728,113.1820816942719
2011-04-01,EUR/JPY,120.41526315789473,5.26049745097478,-3.9179870354439252,115.86021815408088,113.45958928282498,112.77289529076315
2011-05-01,EUR/JPY,116.4672727272727,-3.278646184118053,0.5526596394761875,117.09330906317177,114.08974079797649,112.8262394466073
2011-06-01,EUR/JPY,115.75045454545453,-0.6154674742807082,4.285667482984263,117.54433014354066,115.02988901932036,113.22264096175878
2011-07-01,EUR/JPY,113.26238095238094,-2.149515181468719,1.372740810827403,115.16003607503607,115.51012711455847,113.35045301082084
2011-08-01,EUR/JPY,110.43217391304348,-2.4988058837712055,0.35556305865407695,113.14833647029297,115.12082276673237,113.38305841266538
