period_month,country_code,country_name,headline,core,energy,food,services,non_energy_goods,gap_vs_target,gap_vs_euro_area
2004-03-01,ES,Spain,2.2,2.2,-2.5,3.7,3.6,0.6,0.20000000000000018,0.5000000000000002
2004-04-01,ES,Spain,2.7,2.4,1.5,4.2,3.6,0.9,0.7000000000000002,0.6000000000000001
2004-05-01,ES,Spain,3.4,2.5,6.6,4.8,3.7,1.0,1.4,0.8999999999999999
2004-12-01,ES,Spain,3.3,2.6,7.6,3.4,3.7,1.3,1.2999999999999998,1.0
2005-01-01,ES,Spain,3.1,2.5,6.0,3.5,3.8,1.1,1.1,1.2000000000000002
2005-03-01,ES,Spain,3.4,2.7,8.2,3.6,4.0,1.1,1.4,1.1999999999999997
2005-06-01,ES,Spain,3.2,2.4,8.3,3.2,3.7,0.9,1.2000000000000002,1.2000000000000002
2005-10-01,ES,Spain,3.5,2.6,11.3,3.2,3.8,1.2,1.5,1.0
2006-01-01,ES,Spain,4.2,2.8,14.8,4.3,3.9,1.4,2.2,1.8000000000000003
2007-03-01,ES,Spain,2.5,2.6,-0.3,3.3,4.0,0.8,0.5,0.6000000000000001
2007-12-01,ES,Spain,4.3,2.4,11.4,6.6,3.9,0.4,2.3,1.1999999999999997
2008-05-01,ES,Spain,4.7,2.3,16.5,6.4,3.8,0.2,2.7,1.0
2008-06-01,ES,Spain,5.1,2.3,19.1,6.8,3.9,0.2,3.0999999999999996,1.1999999999999997
2008-08-01,ES,Spain,4.9,2.5,17.5,6.5,4.1,0.5,2.9000000000000004,1.1000000000000005
2008-10-01,ES,Spain,3.6,2.6,9.3,4.0,4.1,0.6,1.6,0.3999999999999999
2010-03-01,ES,Spain,2.7,1.6,13.8,0.8,1.1,2.3,0.7000000000000002,1.1
2010-05-01,ES,Spain,2.5,0.9,16.3,1.1,0.8,0.9,0.5,0.8
2010-07-01,ES,Spain,1.8,0.5,11.8,1.1,1.2,-0.7,-0.19999999999999996,0.10000000000000009
2010-08-01,ES,Spain,1.6,0.6,8.9,1.3,1.4,-0.7,-0.3999999999999999,0.0
2010-12-01,ES,Spain,2.9,1.0,15.6,2.6,1.4,0.5,0.8999999999999999,0.6999999999999997
2011-03-01,ES,Spain,3.3,1.2,18.9,2.7,1.6,0.6,1.2999999999999998,0.5999999999999996
2011-08-01,ES,Spain,2.7,1.0,15.3,2.1,1.5,0.1,0.7000000000000002,0.20000000000000018
2012-07-01,ES,Spain,2.2,1.1,7.8,2.3,1.0,1.3,0.20000000000000018,-0.19999999999999973
2012-09-01,ES,Spain,3.5,1.8,13.4,3.1,1.7,2.0,1.5,0.8999999999999999
